Songnum	Nation	Songtype	Language	Title	Singer		
#15889	#2	#8	#2	#Healer	#(Spiritual) Jobe, Kari	#N:\Custom HD787\Healer - (Spiritual) Jobe, Kari.mp3	#N:\Custom HD787\Healer - (Spiritual) Jobe, Kari.cdg
#15890	#2	#8	#2	#Healer	#(Spiritual) Talleys, The	#N:\Custom HD787\Healer - (Spiritual) Talleys, The.mp3	#N:\Custom HD787\Healer - (Spiritual) Talleys, The.cdg
#15891	#2	#8	#2	#Healer, The	#(Spiritual) Talley Trio	#N:\Custom HD787\Healer, The - (Spiritual) Talley Trio.mp3	#N:\Custom HD787\Healer, The - (Spiritual) Talley Trio.cdg
#15892	#2	#8	#2	#Healing	#(Spiritual) Cathedral Quartet, The (The Cathedrals)	#N:\Custom HD787\Healing - (Spiritual) Cathedral Quartet, The (The Cathedrals).mp3	#N:\Custom HD787\Healing - (Spiritual) Cathedral Quartet, The (The Cathedrals).cdg
#15893	#2	#8	#2	#Healing Hand Of God	#(Spiritual) Camp, Jeremy	#N:\Custom HD787\Healing Hand Of God - (Spiritual) Camp, Jeremy.mp3	#N:\Custom HD787\Healing Hand Of God - (Spiritual) Camp, Jeremy.cdg
#15894	#2	#8	#2	#Healing Rain	#(Spiritual) Smith, Michael W.	#N:\Custom HD787\Healing Rain - (Spiritual) Smith, Michael W..mp3	#N:\Custom HD787\Healing Rain - (Spiritual) Smith, Michael W..cdg
#15895	#2	#8	#2	#Hear Me In The Harmony	#Connick, Harry Jr.	#N:\Custom HD787\Hear Me In The Harmony - Connick, Harry Jr..mp3	#N:\Custom HD787\Hear Me In The Harmony - Connick, Harry Jr..cdg
#15896	#2	#8	#2	#Heard 'Em Say	#West, Kanye & Adam Levine	#N:\Custom HD787\Heard 'Em Say - West, Kanye & Adam Levine.mp3	#N:\Custom HD787\Heard 'Em Say - West, Kanye & Adam Levine.cdg
#15897	#2	#8	#2	#Heard It All Before	#Anderson, Sunshine	#N:\Custom HD787\Heard It All Before - Anderson, Sunshine.mp3	#N:\Custom HD787\Heard It All Before - Anderson, Sunshine.cdg
#15898	#2	#8	#2	#Heart & Soul	#(Standards) Traditional	#N:\Custom HD787\Heart & Soul - (Standards) Traditional.mp3	#N:\Custom HD787\Heart & Soul - (Standards) Traditional.cdg
#15899	#2	#8	#2	#Heart & Soul	#Lewis, Huey & The News	#N:\Custom HD787\Heart & Soul - Lewis, Huey & The News.mp3	#N:\Custom HD787\Heart & Soul - Lewis, Huey & The News.cdg
#15900	#2	#8	#2	#Heart & Soul	#Twin Atlantic	#N:\Custom HD787\Heart & Soul - Twin Atlantic.mp3	#N:\Custom HD787\Heart & Soul - Twin Atlantic.cdg
#15901	#2	#8	#2	#Heart Broke	#Skaggs, Ricky	#N:\Custom HD787\Heart Broke - Skaggs, Ricky.mp3	#N:\Custom HD787\Heart Broke - Skaggs, Ricky.cdg
#15902	#2	#8	#2	#Heart Half Empty	#(Duet) Herndon, Ty & Stephanie Bentley	#N:\Custom HD787\Heart Half Empty - (Duet) Herndon, Ty & Stephanie Bentley.mp3	#N:\Custom HD787\Heart Half Empty - (Duet) Herndon, Ty & Stephanie Bentley.cdg
#15903	#2	#8	#2	#Heart Heart Heartbreak	#Boys Like Girls	#N:\Custom HD787\Heart Heart Heartbreak - Boys Like Girls.mp3	#N:\Custom HD787\Heart Heart Heartbreak - Boys Like Girls.cdg
#15904	#2	#8	#2	#Heart Hold On	#Buffalo Club, The	#N:\Custom HD787\Heart Hold On - Buffalo Club, The.mp3	#N:\Custom HD787\Heart Hold On - Buffalo Club, The.cdg
#15905	#2	#8	#2	#Heart Is A Lonely Hunter, The	#McEntire, Reba	#N:\Custom HD787\Heart Is A Lonely Hunter, The - McEntire, Reba.mp3	#N:\Custom HD787\Heart Is A Lonely Hunter, The - McEntire, Reba.cdg
#15906	#2	#8	#2	#Heart Is Blind, The	#Twain, Shania	#N:\Custom HD787\Heart Is Blind, The - Twain, Shania.mp3	#N:\Custom HD787\Heart Is Blind, The - Twain, Shania.cdg
#15907	#2	#8	#2	#Heart Like A Hurricane	#Stewart, Larry	#N:\Custom HD787\Heart Like A Hurricane - Stewart, Larry.mp3	#N:\Custom HD787\Heart Like A Hurricane - Stewart, Larry.cdg
#15908	#2	#8	#2	#Heart Of A Lion	#Griswolds, The	#N:\Custom HD787\Heart Of A Lion - Griswolds, The.mp3	#N:\Custom HD787\Heart Of A Lion - Griswolds, The.cdg
#15909	#2	#8	#2	#Heart Of Glass	#Blondie	#N:\Custom HD787\Heart Of Glass - Blondie.mp3	#N:\Custom HD787\Heart Of Glass - Blondie.cdg
#15910	#2	#8	#2	#Heart Of Gold	#Young, Neil	#N:\Custom HD787\Heart Of Gold - Young, Neil.mp3	#N:\Custom HD787\Heart Of Gold - Young, Neil.cdg
#15911	#2	#8	#2	#Heart Of Gold 2002	#Lorrena, Kelly	#N:\Custom HD787\Heart Of Gold 2002 - Lorrena, Kelly.mp3	#N:\Custom HD787\Heart Of Gold 2002 - Lorrena, Kelly.cdg
#15912	#2	#8	#2	#Heart Of Rock & Roll	#Lewis, Huey & The News	#N:\Custom HD787\Heart Of Rock & Roll - Lewis, Huey & The News.mp3	#N:\Custom HD787\Heart Of Rock & Roll - Lewis, Huey & The News.cdg
#15913	#2	#8	#2	#Heart Of Rome	#Presley, Elvis	#N:\Custom HD787\Heart Of Rome - Presley, Elvis.mp3	#N:\Custom HD787\Heart Of Rome - Presley, Elvis.cdg
#15914	#2	#8	#2	#Heart Of Stone	#Cher	#N:\Custom HD787\Heart Of Stone - Cher.mp3	#N:\Custom HD787\Heart Of Stone - Cher.cdg
#15915	#2	#8	#2	#Heart Of Stone	#Stewart, Dave	#N:\Custom HD787\Heart Of Stone - Stewart, Dave.mp3	#N:\Custom HD787\Heart Of Stone - Stewart, Dave.cdg
#15916	#2	#8	#2	#Heart Of The Matter, The	#Henley, Don	#N:\Custom HD787\Heart Of The Matter, The - Henley, Don.mp3	#N:\Custom HD787\Heart Of The Matter, The - Henley, Don.cdg
#15917	#2	#8	#2	#Heart Of Worship	#(Spiritual) Phillips, Craig & Dean	#N:\Custom HD787\Heart Of Worship - (Spiritual) Phillips, Craig & Dean.mp3	#N:\Custom HD787\Heart Of Worship - (Spiritual) Phillips, Craig & Dean.cdg
#15918	#2	#8	#2	#Heart Of Worship, The	#(Spiritual) Smith, Michael W.	#N:\Custom HD787\Heart Of Worship, The - (Spiritual) Smith, Michael W..mp3	#N:\Custom HD787\Heart Of Worship, The - (Spiritual) Smith, Michael W..cdg
#15919	#2	#8	#2	#Heart Of Worship, The	#(Spiritual)	#N:\Custom HD787\Heart Of Worship, The - (Spiritual).mp3	#N:\Custom HD787\Heart Of Worship, The - (Spiritual).cdg
#15920	#2	#8	#2	#Heart Of Worship, The	#Smith, Michael W.	#N:\Custom HD787\Heart Of Worship, The - Smith, Michael W..mp3	#N:\Custom HD787\Heart Of Worship, The - Smith, Michael W..cdg
#15921	#2	#8	#2	#Heart Over Mind	#Morgan, Lorrie	#N:\Custom HD787\Heart Over Mind - Morgan, Lorrie.mp3	#N:\Custom HD787\Heart Over Mind - Morgan, Lorrie.cdg
#15922	#2	#8	#2	#Heart That Knows You, A	#(Spiritual) Paris, Twila	#N:\Custom HD787\Heart That Knows You, A - (Spiritual) Paris, Twila.mp3	#N:\Custom HD787\Heart That Knows You, A - (Spiritual) Paris, Twila.cdg
#15923	#2	#8	#2	#Heart Trouble	#McBride, Martina	#N:\Custom HD787\Heart Trouble - McBride, Martina.mp3	#N:\Custom HD787\Heart Trouble - McBride, Martina.cdg
#15924	#2	#8	#2	#Heart Wants What It Wants, The	#Gomez, Selena & The Scene	#N:\Custom HD787\Heart Wants What It Wants, The - Gomez, Selena & The Scene.mp3	#N:\Custom HD787\Heart Wants What It Wants, The - Gomez, Selena & The Scene.cdg
#15925	#2	#8	#2	#Heart With 4	#Wheel Drive, A - 4 Runner	#N:\Custom HD787\Heart With 4-Wheel Drive, A - 4 Runner.mp3	#N:\Custom HD787\Heart With 4-Wheel Drive, A - 4 Runner.cdg
#15926	#2	#8	#2	#Heart Won't Lie, The	#(Duet) McEntire, Reba & Vince Gill	#N:\Custom HD787\Heart Won't Lie, The - (Duet) McEntire, Reba & Vince Gill.mp3	#N:\Custom HD787\Heart Won't Lie, The - (Duet) McEntire, Reba & Vince Gill.cdg
#15927	#2	#8	#2	#Heart You Break May Be Your Own, The	#Cline, Patsy	#N:\Custom HD787\Heart You Break May Be Your Own, The - Cline, Patsy.mp3	#N:\Custom HD787\Heart You Break May Be Your Own, The - Cline, Patsy.cdg
#15928	#2	#8	#2	#Heartache	#Bogguss, Suzy	#N:\Custom HD787\Heartache - Bogguss, Suzy.mp3	#N:\Custom HD787\Heartache - Bogguss, Suzy.cdg
#15929	#2	#8	#2	#Heartache On The Dance Floor	#Pardi, Jon	#N:\Custom HD787\Heartache On The Dance Floor - Pardi, Jon.mp3	#N:\Custom HD787\Heartache On The Dance Floor - Pardi, Jon.cdg
#15930	#2	#8	#2	#Heartache Tonight	#Eagles, The	#N:\Custom HD787\Heartache Tonight - Eagles, The.mp3	#N:\Custom HD787\Heartache Tonight - Eagles, The.cdg
#15931	#2	#8	#2	#Heartaches	#Marcels, The	#N:\Custom HD787\Heartaches - Marcels, The.mp3	#N:\Custom HD787\Heartaches - Marcels, The.cdg
#15932	#2	#8	#2	#Heartaches By The Number	#Mitchell, Guy	#N:\Custom HD787\Heartaches By The Number - Mitchell, Guy.mp3	#N:\Custom HD787\Heartaches By The Number - Mitchell, Guy.cdg
#15933	#2	#8	#2	#Heartaches By The Number	#Price, Ray	#N:\Custom HD787\Heartaches By The Number - Price, Ray.mp3	#N:\Custom HD787\Heartaches By The Number - Price, Ray.cdg
#15934	#2	#8	#2	#Heartbeat	#Plan B	#N:\Custom HD787\Heartbeat - Plan B.mp3	#N:\Custom HD787\Heartbeat - Plan B.cdg
#15935	#2	#8	#2	#Heartbeat	#Underwood, Carrie	#N:\Custom HD787\Heartbeat - Underwood, Carrie.mp3	#N:\Custom HD787\Heartbeat - Underwood, Carrie.cdg
#15936	#2	#8	#2	#Heartbeat Slowing Down	#All-American Rejects	#N:\Custom HD787\Heartbeat Slowing Down - All-American Rejects.mp3	#N:\Custom HD787\Heartbeat Slowing Down - All-American Rejects.cdg
#15937	#2	#8	#2	#Heartbeat Song	#Clarkson, Kelly	#N:\Custom HD787\Heartbeat Song - Clarkson, Kelly.mp3	#N:\Custom HD787\Heartbeat Song - Clarkson, Kelly.cdg
#15938	#2	#8	#2	#Heartbeats Accelerating	#Ronstadt, Linda	#N:\Custom HD787\Heartbeats Accelerating - Ronstadt, Linda.mp3	#N:\Custom HD787\Heartbeats Accelerating - Ronstadt, Linda.cdg
#15939	#2	#8	#2	#Heartbreak Hill	#Harris, Emmylou	#N:\Custom HD787\Heartbreak Hill - Harris, Emmylou.mp3	#N:\Custom HD787\Heartbreak Hill - Harris, Emmylou.cdg
#15940	#2	#8	#2	#Heartbreak Hotel	#Houston, Whitney, Faith Evans & Kelly Price	#N:\Custom HD787\Heartbreak Hotel - Houston, Whitney, Faith Evans & Kelly Price.mp3	#N:\Custom HD787\Heartbreak Hotel - Houston, Whitney, Faith Evans & Kelly Price.cdg
#15941	#2	#8	#2	#Heartbreak Hotel	#Presley, Elvis	#N:\Custom HD787\Heartbreak Hotel - Presley, Elvis.mp3	#N:\Custom HD787\Heartbreak Hotel - Presley, Elvis.cdg
#15942	#2	#8	#2	#Heartbreak Hotel & Hound Dog & All Shook Up (Medley)	#Presley, Elvis	#N:\Custom HD787\Heartbreak Hotel & Hound Dog & All Shook Up (Medley) - Presley, Elvis.mp3	#N:\Custom HD787\Heartbreak Hotel & Hound Dog & All Shook Up (Medley) - Presley, Elvis.cdg
#15943	#2	#8	#2	#Heartbreak Hotel	#Hound Dog-All Shook Up - Presley, Elvis	#N:\Custom HD787\Heartbreak Hotel-Hound Dog-All Shook Up - Presley, Elvis.mp3	#N:\Custom HD787\Heartbreak Hotel-Hound Dog-All Shook Up - Presley, Elvis.cdg
#15944	#2	#8	#2	#Heartbreak Town	#Dixie Chicks, The	#N:\Custom HD787\Heartbreak Town - Dixie Chicks, The.mp3	#N:\Custom HD787\Heartbreak Town - Dixie Chicks, The.cdg
#15945	#2	#8	#2	#Heartbreak Warfare	#Mayer, John	#N:\Custom HD787\Heartbreak Warfare - Mayer, John.mp3	#N:\Custom HD787\Heartbreak Warfare - Mayer, John.cdg
#15946	#2	#8	#2	#Heartbreaker	#Benatar, Pat	#N:\Custom HD787\Heartbreaker - Benatar, Pat.mp3	#N:\Custom HD787\Heartbreaker - Benatar, Pat.cdg
#15947	#2	#8	#2	#Heartbreaker	#Carey, Mariah & Jay-Z	#N:\Custom HD787\Heartbreaker - Carey, Mariah & Jay-Z.mp3	#N:\Custom HD787\Heartbreaker - Carey, Mariah & Jay-Z.cdg
#15948	#2	#8	#2	#Heartbreaker	#Grand Funk Railroad	#N:\Custom HD787\Heartbreaker - Grand Funk Railroad.mp3	#N:\Custom HD787\Heartbreaker - Grand Funk Railroad.cdg
#15949	#2	#8	#2	#Heartbreaker	#Led Zeppelin	#N:\Custom HD787\Heartbreaker - Led Zeppelin.mp3	#N:\Custom HD787\Heartbreaker - Led Zeppelin.cdg
#15950	#2	#8	#2	#Heartbreaker	#Warwick, Dionne	#N:\Custom HD787\Heartbreaker - Warwick, Dionne.mp3	#N:\Custom HD787\Heartbreaker - Warwick, Dionne.cdg
#15951	#2	#8	#2	#Heartbroke	#Skaggs, Ricky	#N:\Custom HD787\Heartbroke - Skaggs, Ricky.mp3	#N:\Custom HD787\Heartbroke - Skaggs, Ricky.cdg
#15952	#2	#8	#2	#Heartbroke Every Day	#Lonestar	#N:\Custom HD787\Heartbroke Every Day - Lonestar.mp3	#N:\Custom HD787\Heartbroke Every Day - Lonestar.cdg
#15953	#2	#8	#2	#Heartland	#Strait, George	#N:\Custom HD787\Heartland - Strait, George.mp3	#N:\Custom HD787\Heartland - Strait, George.cdg
#15954	#2	#8	#2	#Heartless	#West, Kanye	#N:\Custom HD787\Heartless - West, Kanye.mp3	#N:\Custom HD787\Heartless - West, Kanye.cdg
#15955	#2	#8	#2	#Heartlight	#Diamond, Neil	#N:\Custom HD787\Heartlight - Diamond, Neil.mp3	#N:\Custom HD787\Heartlight - Diamond, Neil.cdg
#15956	#2	#8	#2	#Heartline	#David, Craig	#N:\Custom HD787\Heartline - David, Craig.mp3	#N:\Custom HD787\Heartline - David, Craig.cdg
#15957	#2	#8	#2	#Heart's Desire	#Parnell, Lee Roy	#N:\Custom HD787\Heart's Desire - Parnell, Lee Roy.mp3	#N:\Custom HD787\Heart's Desire - Parnell, Lee Roy.cdg
#15958	#2	#8	#2	#Hearts Don't Break Around Here	#Sheeran, Ed	#N:\Custom HD787\Hearts Don't Break Around Here - Sheeran, Ed.mp3	#N:\Custom HD787\Hearts Don't Break Around Here - Sheeran, Ed.cdg
#15959	#2	#8	#2	#Hearts Fall	#McCain, Edwin	#N:\Custom HD787\Hearts Fall - McCain, Edwin.mp3	#N:\Custom HD787\Hearts Fall - McCain, Edwin.cdg
#15960	#2	#8	#2	#Hearts On Fire	#Passenger	#N:\Custom HD787\Hearts On Fire - Passenger.mp3	#N:\Custom HD787\Hearts On Fire - Passenger.cdg
#15961	#2	#8	#2	#Heat Is On, The	#Frey, Glenn	#N:\Custom HD787\Heat Is On, The - Frey, Glenn.mp3	#N:\Custom HD787\Heat Is On, The - Frey, Glenn.cdg
#15962	#2	#8	#2	#Heat It Up	#Sparxxx, Bubba	#N:\Custom HD787\Heat It Up - Sparxxx, Bubba.mp3	#N:\Custom HD787\Heat It Up - Sparxxx, Bubba.cdg
#15963	#2	#8	#2	#Heat Of The Moment	#ASIA	#N:\Custom HD787\Heat Of The Moment - ASIA.mp3	#N:\Custom HD787\Heat Of The Moment - ASIA.cdg
#15964	#2	#8	#2	#Heathens	#Twenty One Pilots	#N:\Custom HD787\Heathens - Twenty One Pilots.mp3	#N:\Custom HD787\Heathens - Twenty One Pilots.cdg
#15965	#2	#8	#2	#Heatstroke	#Harris, Calvin & Young Thug & Pharrell Williams & Ariana Grande	#N:\Custom HD787\Heatstroke - Harris, Calvin & Young Thug & Pharrell Williams & Ariana Grande.mp3	#N:\Custom HD787\Heatstroke - Harris, Calvin & Young Thug & Pharrell Williams & Ariana Grande.cdg
#15966	#2	#8	#2	#Heatwave	#Overtones, The	#N:\Custom HD787\Heatwave - Overtones, The.mp3	#N:\Custom HD787\Heatwave - Overtones, The.cdg
#15967	#2	#8	#2	#Heaven	#(Duet) Sivan, Troye & Betty Who	#N:\Custom HD787\Heaven - (Duet) Sivan, Troye & Betty Who.mp3	#N:\Custom HD787\Heaven - (Duet) Sivan, Troye & Betty Who.cdg
#15968	#2	#8	#2	#Heaven	#(Spiritual) Mullen, Nicole C.	#N:\Custom HD787\Heaven - (Spiritual) Mullen, Nicole C..mp3	#N:\Custom HD787\Heaven - (Spiritual) Mullen, Nicole C..cdg
#15969	#2	#8	#2	#Heaven	#(Spiritual) Seldom Scene, The	#N:\Custom HD787\Heaven - (Spiritual) Seldom Scene, The.mp3	#N:\Custom HD787\Heaven - (Spiritual) Seldom Scene, The.cdg
#15970	#2	#8	#2	#Heaven	#(Spiritual) Trammel, Mark, Trio	#N:\Custom HD787\Heaven - (Spiritual) Trammel, Mark, Trio.mp3	#N:\Custom HD787\Heaven - (Spiritual) Trammel, Mark, Trio.cdg
#15971	#2	#8	#2	#Heaven	#Adams, Bryan	#N:\Custom HD787\Heaven - Adams, Bryan.mp3	#N:\Custom HD787\Heaven - Adams, Bryan.cdg
#15972	#2	#8	#2	#Heaven	#Brown, Kane	#N:\Custom HD787\Heaven - Brown, Kane.mp3	#N:\Custom HD787\Heaven - Brown, Kane.cdg
#15973	#2	#8	#2	#Heaven	#DJ Sammy & Yanou	#N:\Custom HD787\Heaven - DJ Sammy & Yanou.mp3	#N:\Custom HD787\Heaven - DJ Sammy & Yanou.cdg
#15974	#2	#8	#2	#Heaven	#Live	#N:\Custom HD787\Heaven - Live.mp3	#N:\Custom HD787\Heaven - Live.cdg
#15975	#2	#8	#2	#Heaven	#Los Lonely Boys	#N:\Custom HD787\Heaven - Los Lonely Boys.mp3	#N:\Custom HD787\Heaven - Los Lonely Boys.cdg
#15976	#2	#8	#2	#Heaven	#Nu Flavor	#N:\Custom HD787\Heaven - Nu Flavor.mp3	#N:\Custom HD787\Heaven - Nu Flavor.cdg
#15977	#2	#8	#2	#Heaven	#Warrant	#N:\Custom HD787\Heaven - Warrant.mp3	#N:\Custom HD787\Heaven - Warrant.cdg
#15978	#2	#8	#2	#Heaven Bound	#Petrone, Shana	#N:\Custom HD787\Heaven Bound - Petrone, Shana.mp3	#N:\Custom HD787\Heaven Bound - Petrone, Shana.cdg
#15979	#2	#8	#2	#Heaven Bound	#Shenandoah	#N:\Custom HD787\Heaven Bound - Shenandoah.mp3	#N:\Custom HD787\Heaven Bound - Shenandoah.cdg
#15980	#2	#8	#2	#Heaven Can Wait	#Meat Loaf	#N:\Custom HD787\Heaven Can Wait - Meat Loaf.mp3	#N:\Custom HD787\Heaven Can Wait - Meat Loaf.cdg
#15981	#2	#8	#2	#Heaven Everywhere	#(Spiritual) Battistelli, Francesca	#N:\Custom HD787\Heaven Everywhere - (Spiritual) Battistelli, Francesca.mp3	#N:\Custom HD787\Heaven Everywhere - (Spiritual) Battistelli, Francesca.cdg
#15982	#2	#8	#2	#Heaven Help Me	#Wynonna	#N:\Custom HD787\Heaven Help Me - Wynonna.mp3	#N:\Custom HD787\Heaven Help Me - Wynonna.cdg
#15983	#2	#8	#2	#Heaven Help My Heart	#Wynonna	#N:\Custom HD787\Heaven Help My Heart - Wynonna.mp3	#N:\Custom HD787\Heaven Help My Heart - Wynonna.cdg
#15984	#2	#8	#2	#Heaven In My Woman's Eyes	#Byrd, Tracy	#N:\Custom HD787\Heaven In My Woman's Eyes - Byrd, Tracy.mp3	#N:\Custom HD787\Heaven In My Woman's Eyes - Byrd, Tracy.cdg
#15985	#2	#8	#2	#Heaven Is A Place On Earth	#Baeling, Becky	#N:\Custom HD787\Heaven Is A Place On Earth - Baeling, Becky.mp3	#N:\Custom HD787\Heaven Is A Place On Earth - Baeling, Becky.cdg
#15986	#2	#8	#2	#Heaven Is A Place On Earth	#Carlisle, Belinda	#N:\Custom HD787\Heaven Is A Place On Earth - Carlisle, Belinda.mp3	#N:\Custom HD787\Heaven Is A Place On Earth - Carlisle, Belinda.cdg
#15987	#2	#8	#2	#Heaven Is Closed	#Nelson, Willie	#N:\Custom HD787\Heaven Is Closed - Nelson, Willie.mp3	#N:\Custom HD787\Heaven Is Closed - Nelson, Willie.cdg
#15988	#2	#8	#2	#Heaven Is Missing An Angel	#Strait, George	#N:\Custom HD787\Heaven Is Missing An Angel - Strait, George.mp3	#N:\Custom HD787\Heaven Is Missing An Angel - Strait, George.cdg
#15989	#2	#8	#2	#Heaven Is Tonight	#Dirty Fences	#N:\Custom HD787\Heaven Is Tonight - Dirty Fences.mp3	#N:\Custom HD787\Heaven Is Tonight - Dirty Fences.cdg
#15990	#2	#8	#2	#Heaven Must Be Missing An Angel	#Tavares	#N:\Custom HD787\Heaven Must Be Missing An Angel - Tavares.mp3	#N:\Custom HD787\Heaven Must Be Missing An Angel - Tavares.cdg
#15991	#2	#8	#2	#Heaven Only Knows	#Harris, Emmylou	#N:\Custom HD787\Heaven Only Knows - Harris, Emmylou.mp3	#N:\Custom HD787\Heaven Only Knows - Harris, Emmylou.cdg
#15992	#2	#8	#2	#Heaven Sent	#Cole, Keyshia	#N:\Custom HD787\Heaven Sent - Cole, Keyshia.mp3	#N:\Custom HD787\Heaven Sent - Cole, Keyshia.cdg
#15993	#2	#8	#2	#Heaven Tonight	#Ryan, Derek & Goitse	#N:\Custom HD787\Heaven Tonight - Ryan, Derek & Goitse.mp3	#N:\Custom HD787\Heaven Tonight - Ryan, Derek & Goitse.cdg
#15994	#2	#8	#2	#Heavenly Sunlight	#(Spiritual)	#N:\Custom HD787\Heavenly Sunlight - (Spiritual).mp3	#N:\Custom HD787\Heavenly Sunlight - (Spiritual).cdg
#15995	#2	#8	#2	#Heaven's Avenue	#(Spiritual) Perry Sisters, The	#N:\Custom HD787\Heaven's Avenue - (Spiritual) Perry Sisters, The.mp3	#N:\Custom HD787\Heaven's Avenue - (Spiritual) Perry Sisters, The.cdg
#15996	#2	#8	#2	#Heaven's Child	#(Spiritual) Martins, The	#N:\Custom HD787\Heaven's Child - (Spiritual) Martins, The.mp3	#N:\Custom HD787\Heaven's Child - (Spiritual) Martins, The.cdg
#15997	#2	#8	#2	#Heaven's Just A Sin Away	#Kendalls, The	#N:\Custom HD787\Heaven's Just A Sin Away - Kendalls, The.mp3	#N:\Custom HD787\Heaven's Just A Sin Away - Kendalls, The.cdg
#15998	#2	#8	#2	#Heaven's Just A Sin Away	#Willis, Kelly	#N:\Custom HD787\Heaven's Just A Sin Away - Willis, Kelly.mp3	#N:\Custom HD787\Heaven's Just A Sin Away - Willis, Kelly.cdg
#15999	#2	#8	#2	#Heaven's Sounding Sweeter	#(Spiritual) Singing Cookes, The	#N:\Custom HD787\Heaven's Sounding Sweeter - (Spiritual) Singing Cookes, The.mp3	#N:\Custom HD787\Heaven's Sounding Sweeter - (Spiritual) Singing Cookes, The.cdg
#16000	#2	#8	#2	#Heaven's What I Feel	#Estefan, Gloria	#N:\Custom HD787\Heaven's What I Feel - Estefan, Gloria.mp3	#N:\Custom HD787\Heaven's What I Feel - Estefan, Gloria.cdg
#16001	#2	#8	#2	#Heavy	#(Duet) Linkin Park & Kiiara	#N:\Custom HD787\Heavy - (Duet) Linkin Park & Kiiara.mp3	#N:\Custom HD787\Heavy - (Duet) Linkin Park & Kiiara.cdg
#16002	#2	#8	#2	#Heavy	#Anne-Marie	#N:\Custom HD787\Heavy - Anne-Marie.mp3	#N:\Custom HD787\Heavy - Anne-Marie.cdg
#16003	#2	#8	#2	#Heavy	#Collective Soul	#N:\Custom HD787\Heavy - Collective Soul.mp3	#N:\Custom HD787\Heavy - Collective Soul.cdg
#16004	#2	#8	#2	#Heavy Cross	#Gossip, The	#N:\Custom HD787\Heavy Cross - Gossip, The.mp3	#N:\Custom HD787\Heavy Cross - Gossip, The.cdg
#16005	#2	#8	#2	#Heavy Entertainment Show	#Williams, Robbie	#N:\Custom HD787\Heavy Entertainment Show - Williams, Robbie.mp3	#N:\Custom HD787\Heavy Entertainment Show - Williams, Robbie.cdg
#16006	#2	#8	#2	#Heavy Is The Head	#Brown, Zac, Band	#N:\Custom HD787\Heavy Is The Head - Brown, Zac, Band.mp3	#N:\Custom HD787\Heavy Is The Head - Brown, Zac, Band.cdg
#16007	#2	#8	#2	#Heavy Liftin'	#Shelton, Blake	#N:\Custom HD787\Heavy Liftin' - Shelton, Blake.mp3	#N:\Custom HD787\Heavy Liftin' - Shelton, Blake.cdg
#16008	#2	#8	#2	#He'd Never Seen Julie Cry	#Messina, Jo Dee	#N:\Custom HD787\He'd Never Seen Julie Cry - Messina, Jo Dee.mp3	#N:\Custom HD787\He'd Never Seen Julie Cry - Messina, Jo Dee.cdg
#16009	#2	#8	#2	#He'd Still Been God	#(Spiritual) Children's Songs (Sunday School)	#N:\Custom HD787\He'd Still Been God - (Spiritual) Children's Songs (Sunday School).mp3	#N:\Custom HD787\He'd Still Been God - (Spiritual) Children's Songs (Sunday School).cdg
#16010	#2	#8	#2	#He'd Still Been God	#(Spiritual) Freemans, The	#N:\Custom HD787\He'd Still Been God - (Spiritual) Freemans, The.mp3	#N:\Custom HD787\He'd Still Been God - (Spiritual) Freemans, The.cdg
#16011	#2	#8	#2	#Heel Over Head	#Puddle Of Mudd	#N:\Custom HD787\Heel Over Head - Puddle Of Mudd.mp3	#N:\Custom HD787\Heel Over Head - Puddle Of Mudd.cdg
#16012	#2	#8	#2	#Held	#(Spiritual) Grant, Natalie	#N:\Custom HD787\Held - (Spiritual) Grant, Natalie.mp3	#N:\Custom HD787\Held - (Spiritual) Grant, Natalie.cdg
#16013	#2	#8	#2	#Helium	#Sia	#N:\Custom HD787\Helium - Sia.mp3	#N:\Custom HD787\Helium - Sia.cdg
#16014	#2	#8	#2	#Hell	#Squirrel Nut Zippers	#N:\Custom HD787\Hell - Squirrel Nut Zippers.mp3	#N:\Custom HD787\Hell - Squirrel Nut Zippers.cdg
#16015	#2	#8	#2	#He'll Be Back	#Womack, Lee Ann	#N:\Custom HD787\He'll Be Back - Womack, Lee Ann.mp3	#N:\Custom HD787\He'll Be Back - Womack, Lee Ann.cdg
#16016	#2	#8	#2	#He'll Do It Again	#(Spiritual) Wheaton, Karen	#N:\Custom HD787\He'll Do It Again - (Spiritual) Wheaton, Karen.mp3	#N:\Custom HD787\He'll Do It Again - (Spiritual) Wheaton, Karen.cdg
#16017	#2	#8	#2	#He'll Have To Go	#Presley, Elvis	#N:\Custom HD787\He'll Have To Go - Presley, Elvis.mp3	#N:\Custom HD787\He'll Have To Go - Presley, Elvis.cdg
#16018	#2	#8	#2	#He'll Have To Go	#Reeves, Jim	#N:\Custom HD787\He'll Have To Go - Reeves, Jim.mp3	#N:\Custom HD787\He'll Have To Go - Reeves, Jim.cdg
#16019	#2	#8	#2	#Hell Is For Children	#Benatar, Pat	#N:\Custom HD787\Hell Is For Children - Benatar, Pat.mp3	#N:\Custom HD787\Hell Is For Children - Benatar, Pat.cdg
#16020	#2	#8	#2	#He'll Never Know	#Izibor, Laura	#N:\Custom HD787\He'll Never Know - Izibor, Laura.mp3	#N:\Custom HD787\He'll Never Know - Izibor, Laura.cdg
